,CAR BRAND,CAR NAME,CAR MODEL
0,2019 VOLKSWAGEN,JETTA,1.4T SE Sedan 4D
1,2020 HONDA,CIVIC,Sport Sedan 4D
2,2019 NISSAN,FRONTIER KING CAB,S Pickup 2D 6 ft
3,2020 HONDA,CIVIC,Sport Sedan 4D
4,2019 KIA,OPTIMA,S Sedan 4D
5,2019 JEEP,COMPASS,Latitude Sport Utility 4D
6,2019 RAM,1500 CLASSIC QUAD CAB,"Tradesman Pickup 4D 6 1/3 ft | 17,610 miles"
7,2015 BMW,2 SERIES,228i xDrive Convertible 2D
8,2017 HYUNDAI,VELOSTER,Turbo Coupe 3D
9,2020 HYUNDAI,ACCENT,SE Sedan 4D
10,2019 SUBARU,CROSSTREK,2.0i Premium Sport Utility 4D
11,2020 KIA,SPORTAGE,EX Sport Utility 4D
12,2018 MINI,HARDTOP 4 DOOR,Cooper S Hatchback 4D
13,2020 FORD,EDGE,SE Sport Utility 4D
14,2019 FORD,FLEX,"SEL Sport Utility 4D | 22,697 miles"
15,2019 MAZDA,CX-3,Sport Utility 4D
16,2017 FORD,FOCUS,S Sedan 4D
